feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.19415346511757925, 0.35687963378977067, 0.38787300592147855]","[0.36304943603640183, 0.4702674608508984, 0.49433445993255887]","[0.4406284887720939, 0.5973940356161674, 0.6227945134002696]","[7.007686866747028, 8.935074211028914, 9.426409925046716]","[array([0.19415347]), array([0.35687963]), array([0.38787301])]","[0.22271968317967794, 0.4334611335066497, 0.4727275796873454]","[0.374014890301789, 0.5091875814236461, 0.5315295436901759]","[0.4719318628569997, 0.6583776526482727, 0.6875518741792108]","[6.793180451617471, 9.166383656357592, 9.584196087252487]","[array([0.22271968]), array([0.43346113]), array([0.47272758])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.08233223776707921, 0.39356791828948806, 0.5786872968426687]","[0.22713629680180122, 0.5197443350314028, 0.6191620936534923]","[0.28693594715036874, 0.627349916943876, 0.7607149905468333]","[4.608561615321431, 10.614520082647957, 12.59610895474164]","[array([0.08233224]), array([0.39356792]), array([0.5786873])]","[0.05938954232903391, 0.3259088439102791, 0.5444201487668949]","[0.20020201627249604, 0.490990660608347, 0.6321344591740112]","[0.24369969702286032, 0.5708842648998824, 0.7378483236864437]","[4.150006847010052, 10.272337770008908, 13.185984008923555]","[array([0.05938954]), array([0.32590884]), array([0.54442015])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.35816852319535086, 0.4572158075081231]","[0.49091173116709375, 0.5626718541274489]","[0.598471823225915, 0.676177349153403]","[9.918102699415407, 11.473504916855783]","[array([0.35816852]), array([0.45721581])]","[0.29545826938602826, 0.3861668069354852]","[0.4691024369222089, 0.543782726595413]","[0.5435607320125584, 0.62142321081167]","[9.77024361350827, 11.337070964536629]","[array([0.29545827]), array([0.38616681])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.35815537093084904, 0.4572158075081231]","[0.49090180173450526, 0.5626718541274489]","[0.598460834918083, 0.676177349153403]","[9.917909658732297, 11.473504916855783]","[array([0.35815537]), array([0.45721581])]","[0.29544923116299354, 0.3861668069354852]","[0.46909600603182905, 0.543782726595413]","[0.5435524180453929, 0.62142321081167]","[9.770110951572681, 11.337070964536629]","[array([0.29544923]), array([0.38616681])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.33947753607978665, 0.4572158075081231]","[0.4757428618980994, 0.5626718541274489]","[0.5826470081273795, 0.676177349153403]","[9.63739327220569, 11.473504916855783]","[array([0.33947754]), array([0.45721581])]","[0.2851485566911337, 0.3861668069354852]","[0.46270346603677176, 0.543782726595413]","[0.5339930305641953, 0.62142321081167]","[9.643727652116986, 11.337070964536629]","[array([0.28514856]), array([0.38616681])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1]",[1],"[0.4473915136858379, 0.4673477283067462]","[0.5456421956626244, 0.56225134854266]","[0.6688733166197004, 0.6836283553998811]","[11.148297457703402, 11.369335998122049]","[array([0.44739151]), array([0.46734773])]","[0.39232134967505233, 0.3827339992457302]","[0.5417528454296041, 0.533012420775541]","[0.6263556095981359, 0.6186549920963462]","[11.341676799972555, 11.112506848575066]","[array([0.39232135]), array([0.382734])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1]",[1],"[0.447278159802213, 0.4673477283067462]","[0.5456141933003331, 0.56225134854266]","[0.6687885763095935, 0.6836283553998811]","[11.146976000461176, 11.369335998122049]","[array([0.44727816]), array([0.46734773])]","[0.3920471187456469, 0.3827339992457302]","[0.5415281176867919, 0.533012420775541]","[0.626136661397212, 0.6186549920963462]","[11.336722320855996, 11.112506848575066]","[array([0.39204712]), array([0.382734])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1]",[1],"[0.49275489020932317, 0.975995962520599, 0.4166180999302157]","[0.5427296162339416, 0.7897135578050734, 0.5047972623393195]","[0.7019650206451339, 0.9879250794066314, 0.6454596036393104]","[10.020625821949531, 14.425893290953566, 9.362116087174996]","[array([0.49275489]), array([0.97599596]), array([0.4166181])]","[0.6328744106971695, 1.23282698907002, 0.5318482021556684]","[0.5813134127593651, 0.9110698344078256, 0.5336632174157737]","[0.7955340411931909, 1.1103274242627803, 0.7292792346938644]","[10.181195390508387, 16.29216963915074, 9.361101645473957]","[array([0.63287441]), array([1.23282699]), array([0.5318482])]"
"[2, 3, 4, 5, 1]",[1],"[0.5065361765055071, 0.9720328682657114, 0.015799913230966398]","[0.5472468086859814, 0.7886696889237059, 0.07926197138106204]","[0.7117135494744407, 0.9859172725263066, 0.12569770575060787]","[10.06208218626911, 14.40912868718981, 1.4985918027592857]","[array([0.50653618]), array([0.97203287]), array([0.01579991])]","[0.6554008628717418, 1.2292507071135528, 0.020532518022221266]","[0.5959255000259686, 0.9105664398870579, 0.09324574740591596]","[0.8095683188414315, 1.1087157918572066, 0.14329172349518748]","[10.437922896276453, 16.28703157071569, 1.662522879379333]","[array([0.65540086]), array([1.22925071]), array([0.02053252])]"
"[2, 3, 4, 5, 1]",[1],"[769.8852305212692, 2672.8018503715075, 93.8772840741143]","[26.21667478459726, 48.91857057187479, 8.896297591030674]","[27.74680577149862, 51.699147482057256, 9.689029057346989]","[56.8358598904948, 105.98961648408853, 16.919825033715487]","[array([769.88523052]), array([2672.80185037]), array([93.87728407])]","[3165.1954966506896, 10816.187728627967, 453.4566487809506]","[54.34866753661019, 100.64713679691444, 15.596152945383315]","[56.26007017993036, 104.00090253756439, 21.29452156731751]","[27.872447797999232, 51.655999408840856, 7.368102989667401]","[array([3165.19549665]), array([10816.18772863]), array([453.45664878])]"
"[2, 3, 4, 5, 1]",[1],"[766.6429018586731, 2666.811912589331, 93.8772840741143]","[26.160279823405265, 48.84901713308446, 8.896297591030674]","[27.688317064398717, 51.641184267881876, 9.689029057346989]","[56.698345775608516, 105.6153826082449, 16.919825033715487]","[array([766.64290186]), array([2666.81191259]), array([93.87728407])]","[3155.134631054908, 10889.422028187768, 453.4566487809506]","[54.26279769439551, 101.00325497356151, 15.596152945383315]","[56.17058510515008, 104.3523934952513, 21.29452156731751]","[27.8286176122212, 51.84336952678594, 7.368102989667401]","[array([3155.13463105]), array([10889.42202819]), array([453.45664878])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[0.506037022032002, 0.606130965466821, 0.2137825648392824]","[0.5687081425885433, 0.6148884607638281, 0.3373092368329121]","[0.711362792133523, 0.7785441319969093, 0.4623662669781203]","[10.262413302021137, 11.142671949164178, 6.108127986525541]","[array([0.50603702]), array([0.60613097]), array([0.21378256])]","[0.3784687292733972, 0.48277956246895903, 0.1746204983756585]","[0.4343414615503495, 0.48238972243958134, 0.2992528483987717]","[0.61519812196836, 0.6948234038005333, 0.4178761758890527]","[7.899472830330925, 8.845420833558903, 5.629572316812998]","[array([0.37846873]), array([0.48277956]), array([0.1746205])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[1.2848418944302333, 2.177805500813834, 0.2137825648392824]","[0.9930310179373587, 1.3453946774031598, 0.3373092368329121]","[1.1335086653529531, 1.4757389677086643, 0.4623662669781203]","[18.276790545221164, 25.056450468471542, 6.108127986525541]","[array([1.28484189]), array([2.1778055]), array([0.21378256])]","[0.9193365602706036, 1.628698382204488, 0.15660422902807397]","[0.7924297599626283, 1.125302597488354, 0.2865288451297427]","[0.9588204004247113, 1.27620467880528, 0.39573252207529513]","[15.025444221414705, 21.707769482660524, 5.457981436617285]","[array([0.91933656]), array([1.62869838]), array([0.15660423])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 1]",[1],"[1.2848418944302333, 2.177805500813834, 0.2137825648392824]","[0.9930310179373587, 1.3453946774031598, 0.3373092368329121]","[1.1335086653529531, 1.4757389677086643, 0.4623662669781203]","[18.276790545221164, 25.056450468471542, 6.108127986525541]","[array([1.28484189]), array([2.1778055]), array([0.21378256])]","[0.9193365602706036, 1.628698382204488, 0.15660422902807397]","[0.7924297599626283, 1.125302597488354, 0.2865288451297427]","[0.9588204004247113, 1.27620467880528, 0.39573252207529513]","[15.025444221414705, 21.707769482660524, 5.457981436617285]","[array([0.91933656]), array([1.62869838]), array([0.15660423])]"
